   1 116.499      376  78.4444     751 111.039     1126 105.809
   2 116.499      377 206.333      752 111.039     1127 104.191
   3 114.634      378 206.333      753 116         1128 103.238
   4 114.634      379 251.478      754 116         1129 106.26
   5 115.639      380 248.518      755 112.5       1130 106.26
   6 115.639      381 242.235      756 113.5       1131  81.3333
   7 116.335      382 249.418      757 112.5       1132  81.3333
   8 113.846      383 204.333      758 111.5       1133  38.6667
   9 117.375      384 204.333      759 113         1134  38.6667
  10 117.875      385 167.845      760 113         1135  83.8889
  11 103.556      386 159.155      761 121.439     1136  83.8889
  12 103.556      387 143.178      762 119.962     1137 124.444
  13 105.889      388 152.822      763 121.766     1138 124.444
  14 105.889      389 134.074      764 123.234     1139  58.2222
  15  94.633      390 128.426      765   0         1140  58.2222
  16  94.633      391 119.174      766   0         1141  67.528
  17  59.9863     392 124.826      767 114         1142  67.528
  18  59.9863     393 196.187      768 114         1143  83.4444
  19  33.9784     394 222.751      769 115.916     1144  83.4444
  20  34.355      395 189.335      770 115.916     1145 106.556
  21  34.0677     396 204.922      771 105.333     1146 106.556
  22  33.7161     397 192.903      772 105.333     1147 161.436
  23 148.667      398 224.805      773  86.8889    1148 139.656
  24 148.667      399 226.011      774  86.8889    1149  80.0617
  25 239.599      400   0          775  71.7778    1150   0
  26 237.83       401 114          776  71.7778    1151  70.5519
  27 231.77       402 114          777  35.5839    1152  70.5519
  28 235.23       403 116.998      778  35.5839    1153 108.111
  29 228.02       404 116.998      779  59.1111    1154 108.111
  30 227.58       405 110.498      780  59.1111    1155 120.556
  31 194.889      406 110.498      781 146.217     1156 120.556
  32 194.889      407 117.778      782 146.217     1157 103.614
  33 228.889      408 117.778      783  71         1158 103.614
  34 228.889      409 121.234      784  71         1159 110.469
  35 246.289      410 121.234      785  20.5186    1160 109.531
  36 243.864      411 109.837      786  20.5186    1161 110.552
  37 241.984      412 110.163      787  74.702     1162 111.589
  38 241.933      413 107.837      788  74.702     1163 106.773
  39 245.623      414 107.496      789  65.5356    1164 106.773
  40 247.52       415 113          790  65.5356    1165 117.418
  41 199.101      416 113          791  78.1111    1166 117.418
  42 207.121      417 101.111      792  78.1111    1167 126.68
  43 195.151      418 101.111      793  81.7801    1168 126.68
  44 185.069      419  71          794  81.7801    1169 115
  45 244.333      420  71          795  75.956     1170 115
  46 244.333      421  32.0282     796  75.956     1171 120.115
  47 113.972      422  32.0282     797  86.2124    1172 120.115
  48 165.744      423  34.7719     798  86.2124    1173 114
  49 151.783      424  36.4164     799   0         1174 114
  50   0          425  33.85       800   0         1175 104.858
  51 115.501      426  33.9462     801 108.862     1176 105.809
  52 115.501      427 151.222      802 109.06      1177 104.191
  53 114.634      428 151.222      803 111.113     1178 103.238
  54 116.098      429 223.111      804 110.887     1179 113.74
  55 117.084      430 223.111      805 114         1180 113.74
  56 115.639      431 193.333      806 114         1181  81.3333
  57 123.416      432 193.333      807 109.677     1182  81.3333
  58 124.403      433 128.778      808 120.323     1183  38.6667
  59 117.375      434 128.778      809 109.677     1184  38.6667
  60 117.875      435  78.1111     810   0         1185  83.8889
  61 103.556      436  78.1111     811 119.202     1186  83.8889
  62 103.556      437  44.2222     812 120.198     1187 124.444
  63 105.889      438  44.2222     813 119.017     1188 124.444
  64 105.889      439  27.0039     814 117.983     1189  58.2222
  65  91.367      440  25.4673     815 108.978     1190  58.2222
  66  91.367      441  20.5823     816 119.022     1191  83.3291
  67  62.0137     442  22.2723     817 108.978     1192  83.3291
  68  62.0137     443 115          818   0         1193  83.4444
  69  33.9784     444 115          819 118.084     1194  83.4444
  70  34.355      445 218.872      820 118.084     1195 106.556
  71  42.2224     446 218.872      821 108.286     1196 106.556
  72  39.4939     447 145.44       822 108.286     1197 152.466
  73 148.667      448 240.852      823 103.556     1198 126.443
  74 148.667      449 230.999      824 103.556     1199  80.0617
  75 239.599      450   0          825  92         1200   0
  76 237.83       451 114          826  92         1201  73.4481
  77 231.77       452 114          827  58.2222    1202  73.4481
  78 235.23       453 117.002      828  58.2222    1203 126.724
  79 228.02       454 117.002      829  36.3333    1204 126.724
  80 227.58       455 111.502      830  36.3333    1205 191.568
  81 194.889      456 111.502      831  85.5556    1206 191.568
  82 194.889      457 117.778      832  85.5556    1207 122.444
  83 228.889      458 117.778      833  98.4444    1208 122.444
  84 228.889      459 120.766      834  98.4444    1209  99.7778
  85 246.289      460 120.766      835  54.5556    1210  99.7778
  86 244.224      461 109.837      836  54.5556    1211 108.93
  87 243.928      462 110.163      837  76.8496    1212 108.93
  88 242.822      463 107.837      838  75.4607    1213 105.227
  89 245.623      464 107.496      839  75.6666    1214 105.227
  90 247.52       465 113          840  74.3334    1215 109.678
  91 199.101      466 113          841  74.4666    1216 109.678
  92 207.121      467 101.111      842  71.8191    1217 113.32
  93 194.607      468 101.111      843  78.8233    1218 113.32
  94 184.174      469  71          844  77.6165    1219 107.552
  95 244.333      470  71          845  80.0983    1220 107.552
  96 244.333      471  60.6385     846  81.9017    1221 114
  97 113.972      472  60.6385     847  60.7879    1222 114
  98  73.8669     473  33.5112     848  60.7879    1223 108.286
  99  76.1614     474  32.9006     849   0         1224 108.286
 100   0          475  41.8331     850   0         1225 108.111
 101 116.499      476  39.8707     851 108.697     1226 108.111
 102 116.499      477 151.222      852 108.715     1227 112.111
 103 115.639      478 151.222      853 111.113     1228 112.111
 104 117.083      479 223.111      854 110.887     1229 106.26
 105 113.734      480 223.111      855 114         1230 106.26
 106 120.563      481 193.333      856 114         1231 103.578
 107 116.679      482 193.333      857 109.677     1232 103.578
 108 113.502      483 128.778      858 120.323     1233  71
 109 116          484 128.778      859 109.677     1234  71
 110 116          485  78.1111     860   0         1235  54.5556
 111 108.111      486  78.1111     861 119.832     1236  54.5556
 112 108.111      487  44.2222     862 120.769     1237 116
 113 110          488  44.2222     863 119.017     1238 116
 114 110          489  21.4516     864 117.983     1239  88.3333
 115  86.133      490  29.0773     865 108.978     1240  88.3333
 116  86.133      491  24.8731     866 119.022     1241  98.4444
 117  71.9863     492  22.2723     867 108.978     1242  98.4444
 118  71.9863     493 115          868   0         1243 123.556
 119  57.855      494 115          869 118.249     1244 123.556
 120  57.855      495 212.628      870 118.249     1245  70.5415
 121  26.1419     496 212.628      871 117.714     1246  73.014
 122  26.1419     497 186.354      872 117.714     1247  66.986
 123  98.8889     498 186.354      873 103.556     1248  67.5855
 124  98.8889     499   0          874 103.556     1249 106.192
 125 210.444      500   0          875  92         1250   0
 126 210.444      501 116.889      876  92         1251  74.5519
 127 247.169      502 116.889      877  58.2222    1252  74.5519
 128 248.348      503 123.287      878  58.2222    1253 152.165
 129 244.063      504 123.287      879  36.3333    1254 152.165
 130 234.649      505 111.5        880  36.3333    1255 221.099
 131 250.838      506 112.5        881  85.5556    1256 221.099
 132 252.162      507 113.5        882  85.5556    1257 122.444
 133 247.838      508 112.5        883  98.4444    1258 122.444
 134 245.305      509 119.634      884  98.4444    1259  99.7778
 135 237.751      510 119.634      885  54.5556    1260  99.7778
 136 239.735      511 112.111      886  54.5556    1261 108.737
 137 247.313      512 112.111      887  76.4835    1262 108.737
 138 246.738      513 110          888  77.2061    1263 104.773
 139 235.833      514 110          889  75.6666    1264 104.773
 140 235.833      515 109.678      890  74.3334    1265 120.322
 141 244.827      516 109.678      891  74.4666    1266 120.322
 142 244.827      517 110.889      892  71.8191    1267   0
 143 196.896      518 110.889      893  79.1733    1268   0
 144 196.896      519  86.8889     894  77.3869    1269 116.448
 145 220.982      520  86.8889     895  80.0983    1270 116.448
 146 210.351      521  59.1111     896  81.9017    1271 114
 147 214.522      522  59.1111     897  60.7879    1272 114
 148 188.84       523  42.7941     898  91.8585    1273 117.714
 149  51.3537     524  42.7941     899 142.361     1274 117.714
 150   0          525  26.1481     900   0         1275 108.111
 151 117.501      526  26.1481     901 107.16      1276 108.111
 152 117.501      527  75.8889     902 106.84      1277 112.111
 153 115.639      528  75.8889     903 105.16      1278 112.111
 154 115.639      529 151.222      904 106.84      1279   0
 155 113.14       530 151.222      905 103.913     1280   0
 156 120.563      531 127.617      906 104.846     1281 108.2
 157 114.196      532 127.617      907 104.905     1282 108.2
 158   0          533  71.7778     908 102.768     1283  71
 159 116          534  71.7778     909 117.501     1284  71
 160 116          535  34.7168     910 116.499     1285  54.5556
 161 108.111      536  34.7168     911 115.501     1286  54.5556
 162 108.111      537   9.65939    912 116.499     1287 116
 163 110          538  10.1816     913 114         1288 116
 164 110          539  38.1266     914 114         1289  88.3333
 165  88.7242     540  18.9001     915 113         1290  88.3333
 166  88.7242     541  61.1495     916 113         1291  98.4444
 167  69.5692     542  29.5149     917 115         1292  98.4444
 168  69.5692     543  68.5556     918 115         1293 123.556
 169  40.145      544  68.5556     919 116         1294 123.556
 170  40.145      545 151.222      920 116         1295  70.5415
 171  23.8581     546 151.222      921 108.286     1296  73.014
 172  23.8581     547 190.831      922 108.286     1297  66.986
 173  98.8889     548 209.033      923 109.222     1298  67.5855
 174  98.8889     549 167.509      924 109.222     1299 106.192
 175 210.444      550   0          925 105.889     1300   0
 176 210.444      551 116.889      926 105.889     1301 188.145
 177 246.639      552 116.889      927  99.7778    1302 188.145
 178 241.043      553 122.427      928  99.7778    1303 139.967
 179 247.212      554 122.427      929  56.8889    1304 171.704
 180 246.876      555 111.5        930  56.8889    1305 193.209
 181 250.838      556 112.5        931  36.1757    1306 172.593
 182 252.162      557 113.5        932  36.1757    1307 176.592
 183 247.838      558 112.5        933 120.556     1308 175.275
 184 245.305      559 120.116      934 120.556     1309  78.7396
 185 238.59       560 120.116      935  81.8889    1310  73.075
 186 238.59       561 112.111      936  81.8889    1311 103.396
 187 246.118      562 112.111      937  37.1111    1312 105.054
 188 246.118      563 110          938  37.1111    1313 108.718
 189 235.167      564 110          939  80.5622    1314 108.718
 190 235.167      565 120.322      940  80.2949    1315 109.678
 191 244.729      566 120.322      941  84.411     1316 109.678
 192 244.729      567 110.889      942  85.361     1317 109.284
 193 197.104      568 110.889      943  81.9181    1318 109.775
 194 197.104      569  86.8889     944  81.5216    1319 109.874
 195 220.982      570  86.8889     945  85.056     1320 109.231
 196 210.351      571  59.1111     946  86.0868    1321 107.591
 197 203.975      572  59.1111     947  62.824     1322 107.591
 198 217.805      573  41.9559     948  94.531     1323 108.286
 199   0          574  41.9559     949 142.361     1324 108.286
 200   0          575  23.8519     950   0         1325 111.36
 201 106.259      576  23.8519     951 107.16      1326 114.322
 202 106.259      577  75.8889     952 106.84      1327 110.432
 203 120          578  75.8889     953 105.16      1328   0
