   1  89.0239         501   9.22206       1001 147.313
   2 213.514          502 187.579         1002   8.35684
   3 254.23           503 101.936         1003 214.399
   4 227.899          504   0.0212703     1004 254.999
   5 251.647          505   0.0214762     1005  91.0817
   6   0.0133249      506 193.77          1006  52.4137
   7   0.00627514     507   0.101762      1007 148.684
   8  21.5654         508 236.373         1008  53.5441
   9 254.987          509 212.516         1009 175.418
  10 201.041          510   0.101525      1010 255
  11 248.897          511   2.58738       1011 255
  12  62.716          512 179.593         1012  37.3452
  13 215.58           513 228.322         1013 255
  14 215.662          514  74.4755        1014  59.5589
  15  36.5171         515 106.394         1015 146.142
  16  34.8172         516 229.215         1016 240.03
  17  81.7291         517 112.155         1017   1.88938e-06
  18 118.355          518 254.359         1018 196.931
  19 161.695          519 254.938         1019 134.593
  20   0.0171778      520   0.000125588   1020  24.475
  21   0.000795941    521   5.8065e-06    1021 254.655
  22 171.141          522   6.08797e-06   1022  33.1971
  23 201.395          523  10.712         1023 210.059
  24   1.83865e-06    524   0.853821      1024  36.0612
  25 255              525  90.2138        1025 123.443
  26 109.042          526   0.000352739   1026  93.586
  27 255              527   1.03892e-05   1027 151.03
  28 225.785          528   1.23773e-06   1028   7.98816
  29 124.752          529 147.822         1029   1.56585
  30 255              530 255             1030  86.4824
  31 195.301          531 255             1031 100.086
  32 232.315          532 255             1032   0.000162189
  33 194.489          533 255             1033   7.49781e-06
  34 212.622          534 255             1034   7.49781e-06
  35 132.737          535 255             1035   0.000162188
  36 120.669          536 255             1036 102.99
  37 255              537 255             1037 115.339
  38 177.195          538  46.0494        1038   0.00431221
  39 190.687          539   3.68208e-06   1039   0.000209274
  40 255              540  49.0596        1040  13.0748
  41 182.789          541   8.56044e-06   1041   3.86027e-05
  42 255              542  53.3327        1042  69.3652
  43 254.999          543   1.79613e-05   1043   0.000262446
  44 206.286          544   2.57246e-05   1044  45.5243
  45   0.0201315      545   0.000400892   1045 200.323
  46  32.1094         546 254.938         1046 116.883
  47  77.7156         547 254.999         1047 255
  48 106.546          548 254.971         1048 255
  49 137.519          549 179.475         1049 255
  50   0              550   0             1050   0
  51 159.85           551 154.34          1051 254.369
  52   0.0137376      552 156.742         1052  26.8387
  53   0.000635361    553 160.129         1053   0.00135974
  54   0.0136776      554 252.434         1054   0.00147307
  55   0.012844       555 254.9           1055 254.994
  56 193.126          556  15.9551        1056  40.5461
  57 254.999          557   0.00481796    1057 199.888
  58 170.71           558 203.619         1058  71.1518
  59   0.739407       559 122.239         1059   0.00104635
  60   0.000920504    560 220.06          1060  18.2209
  61   0.000925742    561 255             1061  43.8406
  62 150.291          562  27.0763        1062 155.326
  63  23.9703         563   1.55052e-05   1063 157.199
  64   0.393822       564 163.106         1064   3.58132e-05
  65 150.041          565 120.582         1065   0.000451454
  66 219.553          566   1.54699e-05   1066  73.7978
  67 193.922          567   0.000319167   1067   0.000151914
  68  17.6171         568  65.1268        1068 255
  69   1.79352        569   4.99331       1069  46.8216
  70 160.906          570 110.607         1070 229.557
  71  79.496          571 254.902         1071 254.185
  72   0.000198425    572  70.213         1072  22.1925
  73   7.33774e-06    573 207.654         1073 189.747
  74   1.33591e-06    574  91.0807        1074  26.8639
  75   8.32995e-07    575   0.00454558    1075 223.552
  76   6.7472e-07     576 182.182         1076  11.9006
  77 102.015          577 207.183         1077 205.48
  78 255              578   9.89707e-06   1078  70.9036
  79 255              579   1.44903e-05   1079 149.59
  80 255              580 255             1080 150.805
  81 255              581 149.736         1081  81.5055
  82 255              582 255             1082  80.3729
  83 255              583 220.955         1083 110.744
  84 255              584 225.749         1084  39.8104
  85 255              585 224.198         1085   1.70675
  86 255              586 144.528         1086 239.861
  87 255              587  15.7839        1087 254.904
  88 255              588 211.802         1088  28.4216
  89 255              589 255             1089   0.00468144
  90 255              590 148.433         1090 239.33
  91 255              591 142.408         1091  98.3837
  92 255              592  69.9499        1092   3.10771
  93 255              593 182.137         1093 188.971
  94 255              594   4.57174e-05   1094   8.25843
  95 255              595   2.20564e-06   1095 103.838
  96 255              596 193.545         1096   0.00490582
  97 255              597 255             1097  85.6061
  98 255              598 255             1098  63.2778
  99   0.00719756     599 185.38          1099   2.07759
 100   0              600   0             1100   0
 101 249.552          601  75.4981        1101 157.074
