   1 124.515     721 116.941    1441 124.733    2161 102.784    2881  68.1741
   2 122.452     722 112.058    1442 121.039    2162 105.57     2882  65.507
   3 110.986     723 105.008    1443 111.286    2163 134.937    2883  97.755
   4 108.722     724 105.611    1444 115.701    2164 135.862    2884  80.7877
   5 113.227     725 114.909    1445 140.298    2165 109.588    2885  45.1401
   6 115.005     726 121.1      1446 145.13     2166 105.147    2886  49.2014
   7 115.358     727 129.849    1447 134.705    2167 116.625    2887 124.157
   8 116.383     728 133.168    1448 131.996    2168 131.983    2888 196.823
   9 119.295     729 134.562    1449 135.006    2169 161.632    2889 218.651
  10 120.335     730 135.223    1450 132.973    2170 159.414    2890 219.412
  11 120.367     731 135.577    1451 124.8      2171 121.522    2891 202.956
  12 118.959     732 130.173    1452 134.778    2172 110.757    2892 221.594
  13 114.937     733 114.391    1453 167.324    2173 116.486    2893 240.257
  14 113.96      734 112.273    1454 165.626    2174 117.054    2894 239.377
  15 115.001     735 120.865    1455 125.092    2175 111.722    2895 219.089
  16 115.637     736 119.814    1456 110.413    2176 109.493    2896 191.769
  17 116.34      737 108.676    1457 109.781    2177 108.29     2897 212.592
  18 116.342     738 111.813    1458 122.865    2178 108.015    2898 217.762
  19 115.566     739 133.806    1459 160.368    2179 108.353    2899 221.577
  20 114.016     740 138.9      1460 158.314    2180 109.834    2900 214.607
  21 110.437     741 130.871    1461 113.638    2181 113.992    2901 176.488
  22 110.856     742 125.885    1462 102.788    2182 114.621    2902 126.709
  23 115.474     743 120.161    1463 111.954    2183 112.255    2903 103.705
  24 114.094     744 121.197    1464 116.497    2184 111.641    2904  99.6743
  25 105.791     745 129.417    1465 118.478    2185 111.897    2905 109.107
  26 104.045     746 126.119    1466 116.34     2186 108.134    2906 109.77
  27 106.921     747 109.216    1467 108.442    2187  98.1363   2907 101.856
  28 110.434     748 106.902    1468 103.894    2188  99.8812   2908 100.32
  29 117.892     749 115.834    1469  98.1673   2189 115.661    2909 103.018
  30 118.597     750 117.582    1470  96.0638   2190 110.118    2910 100.252
  31 113.198     751 112.729    1471  94.9527   2191  83.1929   2911  90.6123
  32 111.859     752 110.159    1472  93.496    2192  72.9859   2912  90.8949
  33 113.706     753 107.441    1473  90.4971   2193  63.5555   2913  97.3822
  34 118.669     754 106.082    1474  92.1821   2194  64.7554   2914  63.2409
  35 131.534     755 104.306    1475 100.739    2195  77.4702   2915  32.1851
  36 128.477     756 100.455    1476 101.294    2196  70.0865   2916  33.3356
  37 107.921     757  91.5098   1477  95.1972   2197  48.264    2917  80.7081
  38 103.557     758  88.4293   1478 106.31     2198  46.939    2918 135.614
  39 109.233     759  87.2257   1479 153.086    2199  61.8866   2919  96.428
  40 114.388     760  86.1139   1480 148.11     2200  78.049    2920  97.6126
  41 123.237     761  83.6214   1481  89.2622   2201 124.958    2921 142.893
  42 123.726     762  79.7909   1482  75.5803   2202 167.964    2922 168.916
  43 116.629     763  72.1135   1483  73.7213   2203 200.063    2923 187.448
  44 115.803     764  72.566    1484  74.59     2204 206.705    2924 178.934
  45 120.277     765  81.8635   1485  75.516    2205 209.278    2925 106.703
  46 118.3       766  82.6597   1486  52.5936   2206 214.914    2926  98.2791
  47 108.557     767  74.4129   1487  29.8417   2207 222.993    2927 143.962
  48 108.986     768  70.3626   1488  32.0114   2208 223.964    2928 128.391
  49 119.978     769  66.4548   1489  91.2714   2209 221.581    2929  64.3439
  50 120.446     770  65.4375   1490 174.557    2210 216.598    2930  52.5515
  51 110.431     771  65.8599   1491 161.953    2211 186.108    2931  50.6602
  52 107.692     772  67.4123   1492 145.647    2212 183.439    2932  92.4565
  53 109.078     773  72.0753   1493 115.679    2213 215.222    2933 223.666
  54 107.201     774  75.4689   1494 113.244    2214 210.689    2934 231.958
  55 100.673     775  81.5143   1495 133.374    2215  90.964    2935 216.476
  56 101.868     776  94.3914   1496 110.498    2216  64.0838   2936 204.098
  57 112.357     777 135.486    1497  61.1225   2217  84.4036   2937 204.432
  58 113.071     778 144.018    1498  55.9147   2218 107.904    2938 204.733
  59 103.889     779 124.72     1499  70.9535   2219 144.918    2939 203.907
  60 104.192     780 119.127    1500  88.0593   2220 148.804    2940 204.342
  61 124.825     781 118.304    1501 119.575    2221 101.21     2941  63.3
  62 119.693     782 112.575    1502 115.447    2222  99.2887   2942  62.925
  63 111.52      783 102.575    1503 108.893    2223 113.516    2943 119.852
  64 108.691     784 102.864    1504 113.376    2224 112.082    2944  86.3453
  65 108.116     785 114.048    1505 135.247    2225  95.6235   2945  38.7269
  66 109.503     786 120.868    1506 140.758    2226  96.6079   2946  44.8452
  67 114.151     787 129.049    1507 134.585    2227 118.089    2947 197.403
  68 116.31      788 131.346    1508 133.082    2228 132.939    2948 216.59
